driverid,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
2,1,0,0,0,0,0,1,1,0,0,0,0,0,1
3,1,0,0,0,0,1,0,1,0,0,0,0,1,0
4,0,0,1,0,1,0,0,0,0,1,0,1,0,0
5,0,1,0,1,0,0,0,0,1,0,1,0,0,0
6,0,0,1,0,0,0,1,0,0,1,0,0,0,1
7,1,0,0,0,1,0,0,1,0,0,0,1,0,0
8,0,0,0,0,0,1,1,0,0,0,0,0,1,1
9,0,1,0,0,0,0,1,0,1,0,0,0,0,1
10,0,0,1,0,1,0,0,0,0,1,0,1,0,0
11,0,0,0,1,0,1,0,0,0,0,1,0,1,0
12,0,0,0,1,1,0,0,0,0,0,1,1,0,0
13,1,0,0,0,0,0,1,1,0,0,0,0,0,1
14,1,0,0,0,0,1,0,1,0,0,0,0,1,0
15,0,0,1,0,1,0,0,0,0,1,0,1,0,0
16,0,1,0,1,0,0,0,0,1,0,1,0,0,0
17,0,0,1,0,0,0,1,0,0,1,0,0,0,1
18,1,0,0,0,1,0,0,1,0,0,0,1,0,0
19,0,0,0,0,0,1,1,0,0,0,0,0,1,1
20,0,1,0,0,0,0,1,0,1,0,0,0,0,1
21,0,0,1,0,1,0,0,0,0,1,0,1,0,0
22,0,0,0,1,0,1,0,0,0,0,1,0,1,0
23,0,0,0,1,1,0,0,0,0,0,1,1,0,0
24,1,0,0,0,0,0,1,1,0,0,0,0,0,1
25,1,0,0,0,0,1,0,1,0,0,0,0,1,0
26,0,0,1,0,1,0,0,0,0,1,0,1,0,0
27,0,1,0,1,0,0,0,0,1,0,1,0,0,0
28,0,0,1,0,0,0,1,0,0,1,0,0,0,1
29,1,0,0,0,1,0,0,1,0,0,0,1,0,0
30,0,0,0,0,0,1,1,0,0,0,0,0,1,1
31,0,1,0,0,0,0,1,0,1,0,0,0,0,1
32,0,0,1,0,1,0,0,0,0,1,0,1,0,0
33,0,0,0,1,0,1,0,0,0,0,1,0,1,0
