driverid,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
2,0,0,1,1,1,0,0,0,0,0,0,1,0,0
3,0,0,1,1,0,0,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,1,0,0,0,1,0,0,0,0,0,0,1,0,0
7,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,1,1,0,0,0,0,0,1,1,0,0,0,0,0
12,1,0,0,0,0,0,0,1,1,0,0,0,0,1
13,0,0,1,1,1,0,0,0,0,0,0,1,0,0
14,0,0,1,1,0,0,0,0,0,1,1,0,0,0
15,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,1,0,0,0,1,0,0,0,0,0,0,1,0,0
18,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,0,0,0,0,0,0,1,1,0,0,0,0,0,1
22,1,1,0,0,0,0,0,1,1,0,0,0,0,0
23,1,0,0,0,0,0,0,1,1,0,0,0,0,1
24,0,0,1,1,1,0,0,0,0,0,0,1,0,0
25,0,0,1,1,0,0,0,0,0,1,1,0,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28,1,0,0,0,1,0,0,0,0,0,0,1,0,0
29,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,0,0,0,0,0,0,0,0,0,0,1,1,0,0
32,0,0,0,0,0,0,1,1,0,0,0,0,0,1
33,1,1,0,0,0,0,0,1,1,0,0,0,0,0
